,index,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
252,5kWw3W3exXghYGU9Jg64GH,Who Says,Selena Gomez & The Scene,0.678,0.933,6,-2.937,0,0.053,0.0742,0.0,0.157,0.787,101.009,audio_features,5kWw3W3exXghYGU9Jg64GH,spotify:track:5kWw3W3exXghYGU9Jg64GH,https://api.spotify.com/v1/tracks/5kWw3W3exXghYGU9Jg64GH,https://api.spotify.com/v1/audio-analysis/5kWw3W3exXghYGU9Jg64GH,195613,4
253,1SSVaHiGFdSwoLEw3PK77G,Remember December,Demi Lovato,0.467,0.845,1,-6.131,1,0.0785,0.00122,0.0,0.112,0.651,179.949,audio_features,1SSVaHiGFdSwoLEw3PK77G,spotify:track:1SSVaHiGFdSwoLEw3PK77G,https://api.spotify.com/v1/tracks/1SSVaHiGFdSwoLEw3PK77G,https://api.spotify.com/v1/audio-analysis/1SSVaHiGFdSwoLEw3PK77G,191760,4
254,4SktAKdkIAol1CMM6ypPlh,Who Owns My Heart,Miley Cyrus,0.567,0.83,9,-4.903,0,0.118,0.0177,0.0,0.0863,0.41,135.877,audio_features,4SktAKdkIAol1CMM6ypPlh,spotify:track:4SktAKdkIAol1CMM6ypPlh,https://api.spotify.com/v1/tracks/4SktAKdkIAol1CMM6ypPlh,https://api.spotify.com/v1/audio-analysis/4SktAKdkIAol1CMM6ypPlh,214853,4
255,3Fsjt1h1p2o86pC2lQopJc,Better Than I Know Myself,Adam Lambert,0.484,0.812,10,-4.743,1,0.138,0.0322,0.0,0.18,0.308,109.452,audio_features,3Fsjt1h1p2o86pC2lQopJc,spotify:track:3Fsjt1h1p2o86pC2lQopJc,https://api.spotify.com/v1/tracks/3Fsjt1h1p2o86pC2lQopJc,https://api.spotify.com/v1/audio-analysis/3Fsjt1h1p2o86pC2lQopJc,216173,5
256,1iCg2UMRHem15MWK1GqCdP,Love Me,Justin Bieber,0.729,0.868,3,-3.319,1,0.0609,0.00939,0.0,0.283,0.632,124.957,audio_features,1iCg2UMRHem15MWK1GqCdP,spotify:track:1iCg2UMRHem15MWK1GqCdP,https://api.spotify.com/v1/tracks/1iCg2UMRHem15MWK1GqCdP,https://api.spotify.com/v1/audio-analysis/1iCg2UMRHem15MWK1GqCdP,191573,4
257,2cZrrQMjB63c0iIugYH9zS,Rain Over Me (feat. Marc Anthony),Pitbull,0.61,0.906,0,-2.117,1,0.0648,0.00416,0.0,0.758,0.294,127.916,audio_features,2cZrrQMjB63c0iIugYH9zS,spotify:track:2cZrrQMjB63c0iIugYH9zS,https://api.spotify.com/v1/tracks/2cZrrQMjB63c0iIugYH9zS,https://api.spotify.com/v1/audio-analysis/2cZrrQMjB63c0iIugYH9zS,231573,4
258,2rJojRundKuKFgbvmCAYva,Me And My Broken Heart,Rixton,0.545,0.775,5,-4.325,0,0.0349,0.00636,0.0,0.192,0.516,174.086,audio_features,2rJojRundKuKFgbvmCAYva,spotify:track:2rJojRundKuKFgbvmCAYva,https://api.spotify.com/v1/tracks/2rJojRundKuKFgbvmCAYva,https://api.spotify.com/v1/audio-analysis/2rJojRundKuKFgbvmCAYva,193827,4
259,27jdUE1EYDSXZqhjuNxLem,Magic,Coldplay,0.738,0.482,6,-8.917,0,0.0402,0.0266,0.621,0.106,0.352,93.457,audio_features,27jdUE1EYDSXZqhjuNxLem,spotify:track:27jdUE1EYDSXZqhjuNxLem,https://api.spotify.com/v1/tracks/27jdUE1EYDSXZqhjuNxLem,https://api.spotify.com/v1/audio-analysis/27jdUE1EYDSXZqhjuNxLem,285014,4
260,0S4RKPbRDA72tvKwVdXQqe,The Way,Ariana Grande,0.645,0.878,5,-3.208,0,0.113,0.294,0.0,0.076,0.862,82.324,audio_features,0S4RKPbRDA72tvKwVdXQqe,spotify:track:0S4RKPbRDA72tvKwVdXQqe,https://api.spotify.com/v1/tracks/0S4RKPbRDA72tvKwVdXQqe,https://api.spotify.com/v1/audio-analysis/0S4RKPbRDA72tvKwVdXQqe,227027,4
261,0PRqWiyOFMHVee81mr1bp6,If We Ever Meet Again,Timbaland,0.645,0.606,8,-7.157,1,0.0301,0.00796,0.0,0.0751,0.369,126.008,audio_features,0PRqWiyOFMHVee81mr1bp6,spotify:track:0PRqWiyOFMHVee81mr1bp6,https://api.spotify.com/v1/tracks/0PRqWiyOFMHVee81mr1bp6,https://api.spotify.com/v1/audio-analysis/0PRqWiyOFMHVee81mr1bp6,263178,4
